,Name,Symbol,NSE symbol,URL
GMMPFAUDLR,GMM Pfaudler,GMM01,GMMPFAUDLR,/india/stockpricequote/engineeringheavy/gmmpfaudler/GMM01
GMRINFRA,GMR Infra,GI27,GMRINFRA,/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27
GNFC,GNFC,GNV,GNFC,/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV
GODFRYPHLP,Godfrey Phillip,GPI,GODFRYPHLP,/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI
GODREJCP,Godrej Consumer,GCP,GODREJCP,/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
GALLISPAT,Godrej Ind,GI23,GALLISPAT,/india/stockpricequote/personalcare/godrejindustries/GI23
GODREJPROP,Godrej Prop,GP11,GODREJPROP,/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11
GRETEX,Granules India,GI25,GRETEX,/india/stockpricequote/pharmaceuticals/granulesindia/GI25
GRAPHITE,Graphite India,GI13,GRAPHITE,/india/stockpricequote/electrodesgraphite/graphiteindia/GI13
GRASIM,Grasim,GI01,GRASIM,/india/stockpricequote/diversified/grasimindustries/GI01
GRINDWELL,Grindwell Norto,GN,GRINDWELL,/india/stockpricequote/abrasives/grindwellnorton/GN
GSFC,GSFC,GSF,GSFC,/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF
GUJALKALI,Guj Alkali,GAC01,GUJALKALI,/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01
GAEL,Guj Amb Exports,GAE,GAEL,/india/stockpricequote/foodprocessing/gujaratambujaexports/GAE
GSPL,Guj State Petro,GSP02,GSPL,/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
FLUOROCHEM,Gujarat Fluoro,GUJAR54281,FLUOROCHEM,/india/stockpricequote/chemicals/gujaratfluorochemicalslimited/GUJAR54281
GUJGASLTD,Gujarat Gas,GGC,GUJGASLTD,/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC
GPPL,Gujarat Pipavav,GPP03,GPPL,/india/stockpricequote/shipping/gujaratpipavavport/GPP03
GULFOILLUB,Gulf Oil Lubric,GOL01,GULFOILLUB,/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01
HATSUN,Hatsun Agro,HAP,HATSUN,/india/stockpricequote/foodprocessing/hatsunagroproducts/HAP
